id,senator_party,condition,pid7,pre_sexism_1,pre_sexism_2,pre_sexism_3,pre_sexism_4,pre_favorability,pre_vote,gender,age,newsinterest,post_favorability,post_vote,punishment_1,punishment_2,punishment_3,punishment_4,punishment_5,post_sexism_1,post_sexism_2,post_sexism_3,post_sexism_4
395,Democrat,1,Strong Republican,Disagree somewhat,Disagree somewhat,Agree strongly,Agree somewhat,4,2,Man,25-34,Most of the time,5,1,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
396,Republican,1,Not very strong Democrat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,7,1,Woman,35-44,Some of the time,5,0,Disagree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
397,Republican,2,Lean Republican,Agree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,10,10,Man,25-34,Only now and then,10,10,Agree strongly,Disagree somewhat,Agree strongly,Disagree strongly,Agree strongly,Agree somewhat,Agree somewhat,Disagree strongly,Agree somewhat
398,Democrat,1,Strong Democrat,Agree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,7,5,Woman,25-34,Only now and then,8,6,Agree somewhat,Neither disagree nor agree,Agree strongly,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly
399,Republican,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,6,5,Woman,35-44,Some of the time,1,0,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Agree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
400,Republican,3,Strong Republican,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,9,10,Woman,35-44,Most of the time,10,10,,,,,,Agree strongly,Agree strongly,Disagree strongly,Agree somewhat
401,Republican,1,Strong Democrat,Disagree somewhat,Neither disagree nor agree,Agree strongly,Agree somewhat,8,2,Man,65 or over,Most of the time,5,1,Agree somewhat,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Neither disagree nor agree,Agree strongly,Agree somewhat
402,Democrat,3,Independent,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,5,5,Woman,18-24,Only now and then,5,5,,,,,,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
403,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,5,1,Woman,18-24,Some of the time,3,0,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
404,Democrat,3,Lean Democrat,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat,5,4,Man,25-34,Some of the time,4,4,,,,,,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat
405,Democrat,3,Lean Republican,Agree strongly,Agree somewhat,Agree somewhat,Neither disagree nor agree,9,9,Man,45-54,Some of the time,9,8,,,,,,Agree somewhat,Agree strongly,Neither disagree nor agree,Agree somewhat
406,Democrat,2,Lean Republican,Agree strongly,Agree strongly,Agree strongly,Agree strongly,1,0,Man,25-34,Some of the time,1,0,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree strongly,Agree strongly,Agree strongly,Agree strongly
407,Republican,1,Strong Democrat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree strongly,7,6,Man,25-34,Most of the time,8,9,Agree somewhat,Agree strongly,Agree strongly,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat
408,Democrat,1,Lean Democrat,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree somewhat,6,6,Man,35-44,Most of the time,5,6,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree somewhat
409,Democrat,2,Lean Republican,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,8,8,Man,65 or over,Most of the time,5,4,Agree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
410,Republican,3,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,5,5,Woman,25-34,Only now and then,5,5,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
411,Republican,3,Not very strong Republican,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,10,10,Man,45-54,Most of the time,10,10,,,,,,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat
412,Republican,3,Strong Democrat,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,5,4,Other,35-44,Most of the time,5,5,,,,,,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree strongly
413,Democrat,1,Independent,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree,6,6,Woman,25-34,Some of the time,5,5,Agree somewhat,Neither disagree nor agree,Agree somewhat,Disagree strongly,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat
414,Republican,3,Lean Republican,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,7,8,Woman,65 or over,Most of the time,9,8,,,,,,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat
415,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,3,0,Woman,25-34,Some of the time,3,0,,,,,,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree strongly
416,Republican,1,Not very strong Democrat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,6,6,Woman,45-54,Only now and then,2,3,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat
417,Democrat,2,Strong Republican,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,5,1,Woman,25-34,Some of the time,1,1,Disagree somewhat,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat
418,Democrat,2,Strong Republican,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,7,6,Man,35-44,Only now and then,8,7,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree strongly
419,Republican,2,Strong Democrat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,7,3,Woman,45-54,Only now and then,3,0,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
420,Democrat,2,Lean Democrat,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Disagree somewhat,9,9,Man,25-34,Some of the time,8,8,Agree strongly,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree strongly,Agree somewhat,Disagree somewhat
421,Democrat,1,Not very strong Democrat,Disagree somewhat,Neither disagree nor agree,Agree strongly,Neither disagree nor agree,5,0,Man,25-34,Some of the time,5,0,Agree strongly,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Agree strongly,Disagree somewhat
422,Democrat,2,Lean Democrat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,9,8,Woman,35-44,Most of the time,5,5,Agree somewhat,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat
423,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,10,10,Man,35-44,Most of the time,10,5,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
424,Democrat,3,Strong Democrat,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat,8,6,Man,25-34,Most of the time,8,6,,,,,,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
425,Democrat,3,Strong Democrat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,9,9,Woman,45-54,Most of the time,9,9,,,,,,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat
426,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,2,0,Woman,55-64,Most of the time,0,0,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
427,Republican,2,Independent,Agree somewhat,Agree strongly,Disagree somewhat,Neither disagree nor agree,5,3,Man,45-54,Most of the time,5,3,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree
428,Democrat,3,Not very strong Democrat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,8,7,Man,35-44,Most of the time,8,8,,,,,,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
429,Democrat,3,Lean Democrat,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Disagree somewhat,9,9,Man,35-44,Most of the time,10,9,,,,,,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Disagree somewhat
430,Democrat,2,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,4,3,Woman,45-54,Most of the time,2,2,Disagree somewhat,Agree strongly,Disagree strongly,Agree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
431,Republican,1,Lean Republican,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,8,8,Woman,35-44,Most of the time,8,8,Agree strongly,Neither disagree nor agree,Agree strongly,Disagree strongly,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat
432,Democrat,2,Strong Democrat,Agree strongly,Agree somewhat,Agree somewhat,Agree somewhat,7,9,Man,25-34,Only now and then,4,5,Agree somewhat,Agree strongly,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree
433,Democrat,1,Independent,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,8,7,Woman,25-34,Most of the time,4,4,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly
434,Republican,2,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,5,Man,35-44,Some of the time,1,1,Disagree somewhat,Agree strongly,Disagree strongly,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
435,Democrat,1,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,5,Woman,45-54,Most of the time,8,5,Disagree somewhat,Agree strongly,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
436,Republican,1,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,5,3,Woman,45-54,Most of the time,2,0,Disagree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
437,Democrat,1,Strong Republican,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat,10,9,Woman,35-44,Some of the time,6,5,Agree strongly,Disagree somewhat,Agree strongly,Disagree strongly,Disagree somewhat,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat
438,Republican,2,Strong Republican,Neither disagree nor agree,Agree strongly,Disagree strongly,Agree strongly,10,5,Man,25-34,Some of the time,1,1,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Neither disagree nor agree,Agree strongly,Disagree strongly,Agree strongly
439,Republican,1,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,0,0,Man,25-34,Some of the time,0,0,Disagree strongly,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
440,Democrat,1,Strong Democrat,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,6,5,Woman,55-64,Most of the time,5,4,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat
441,Democrat,2,Not very strong Republican,Disagree somewhat,Disagree somewhat,Agree strongly,Agree somewhat,5,5,Man,55-64,Some of the time,4,4,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat
442,Republican,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,5,2,Woman,55-64,Most of the time,1,1,Disagree strongly,Neither disagree nor agree,Disagree strongly,Agree somewhat,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
443,Democrat,1,Not very strong Republican,Disagree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree,7,6,Woman,35-44,Only now and then,6,5,Agree somewhat,Agree strongly,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat
444,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,8,Man,35-44,Most of the time,6,7,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
445,Republican,2,Strong Democrat,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,5,3,Man,55-64,Some of the time,1,1,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Agree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat
446,Democrat,2,Not very strong Republican,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat,9,2,Man,45-54,Hardly at all,5,0,Agree strongly,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat
447,Democrat,2,Lean Democrat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,9,8,Man,45-54,Some of the time,7,6,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree strongly,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
448,Democrat,2,Strong Democrat,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,6,7,Woman,65 or over,Most of the time,5,8,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Disagree somewhat
449,Republican,2,Not very strong Democrat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,7,5,Woman,25-34,Some of the time,2,2,Disagree strongly,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly
450,Democrat,1,Strong Republican,Agree somewhat,Agree strongly,Neither disagree nor agree,Agree somewhat,7,7,Man,25-34,Some of the time,7,7,Agree strongly,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Agree somewhat
451,Democrat,2,Lean Republican,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,0,0,Man,35-44,Most of the time,0,0,Neither disagree nor agree,Disagree strongly,Agree somewhat,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat
452,Democrat,1,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,7,Man,35-44,Most of the time,3,3,Disagree strongly,Agree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
453,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,8,Man,25-34,Some of the time,8,9,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
454,Republican,1,Not very strong Democrat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,5,2,Man,55-64,Most of the time,5,1,Agree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly
455,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,9,10,Woman,18-24,Some of the time,3,3,Disagree strongly,Agree somewhat,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
456,Republican,3,Lean Republican,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,8,Woman,18-24,Some of the time,10,9,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
457,Republican,2,Lean Democrat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,10,9,Woman,55-64,Most of the time,7,8,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
458,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,6,6,Man,35-44,Some of the time,4,4,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
459,Democrat,1,Independent,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Disagree strongly,8,5,Man,25-34,Hardly at all,2,4,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Disagree somewhat
460,Democrat,2,Not very strong Democrat,Disagree strongly,Disagree somewhat,Agree strongly,Disagree somewhat,5,5,Woman,55-64,Most of the time,4,3,Disagree somewhat,Agree somewhat,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Disagree strongly,Disagree somewhat,Agree strongly,Disagree somewhat
461,Democrat,3,Lean Democrat,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,7,8,Woman,35-44,Most of the time,8,8,,,,,,Disagree somewhat,Agree strongly,Agree somewhat,Agree somewhat
462,Democrat,3,Not very strong Republican,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,7,5,Man,45-54,Only now and then,7,5,,,,,,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
463,Democrat,3,Not very strong Democrat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat,9,9,Woman,35-44,Some of the time,9,8,,,,,,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat
464,Democrat,2,Lean Democrat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat,6,6,Woman,25-34,Some of the time,7,6,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat
465,Republican,2,Independent,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,5,5,Woman,45-54,Some of the time,2,1,Disagree strongly,Agree somewhat,Disagree strongly,Agree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
466,Democrat,2,Lean Democrat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree somewhat,7,5,Man,18-24,Some of the time,3,2,Disagree somewhat,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
467,Democrat,2,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Man,18-24,Some of the time,5,5,Agree somewhat,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
468,Democrat,3,Strong Democrat,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,9,10,Man,45-54,Most of the time,9,10,,,,,,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat
469,Republican,2,Independent,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,8,7,Woman,25-34,Some of the time,7,7,Agree somewhat,Neither disagree nor agree,Agree somewhat,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree
470,Democrat,2,Lean Democrat,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree strongly,5,7,Man,25-34,Some of the time,2,2,Disagree somewhat,Agree strongly,Agree strongly,Agree strongly,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree strongly,Neither disagree nor agree
471,Republican,2,Lean Republican,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat,10,10,Woman,25-34,Some of the time,5,5,Agree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat
472,Democrat,1,Independent,Disagree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree,7,6,Man,18-24,Only now and then,6,6,Agree strongly,Disagree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree
473,Democrat,1,Not very strong Democrat,Agree somewhat,Neither disagree nor agree,Agree strongly,Agree somewhat,8,8,Woman,55-64,Most of the time,6,6,Agree somewhat,Agree somewhat,Agree somewhat,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat
474,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,0,0,Man,25-34,Some of the time,0,0,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
475,Republican,3,Strong Democrat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,2,2,Man,45-54,Most of the time,2,2,,,,,,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat
476,Republican,1,Strong Republican,Agree strongly,Agree strongly,Agree strongly,Agree strongly,10,5,Woman,35-44,Only now and then,10,5,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly
477,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,2,Woman,35-44,Most of the time,5,2,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
478,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,5,0,Woman,45-54,Most of the time,5,1,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
479,Republican,3,Strong Republican,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree somewhat,10,10,Woman,18-24,Most of the time,10,10,,,,,,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree strongly
480,Democrat,1,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,6,6,Man,25-34,Some of the time,6,6,Agree somewhat,Disagree strongly,Neither disagree nor agree,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
481,Republican,3,Not very strong Democrat,Disagree somewhat,Agree somewhat,Agree strongly,Agree somewhat,7,5,Woman,55-64,Only now and then,7,5,,,,,,Disagree somewhat,Agree somewhat,Agree strongly,Agree somewhat
482,Republican,3,Strong Democrat,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree strongly,2,0,Man,45-54,Most of the time,3,0,,,,,,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree strongly
483,Republican,3,Strong Republican,Agree somewhat,Agree strongly,Agree somewhat,Agree strongly,9,10,Man,45-54,Some of the time,9,10,,,,,,Disagree somewhat,Agree somewhat,Agree somewhat,Agree strongly
484,Republican,1,Independent,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,9,8,Woman,35-44,Some of the time,8,8,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Agree somewhat,Neither disagree nor agree,Disagree somewhat
485,Republican,1,Lean Democrat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Disagree somewhat,7,7,Woman,25-34,Some of the time,3,5,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat
486,Republican,3,Independent,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,8,9,Woman,25-34,Some of the time,9,9,,,,,,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree strongly
487,Republican,3,Strong Democrat,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,9,9,Man,25-34,Most of the time,8,6,,,,,,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree strongly
488,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,7,Woman,18-24,Most of the time,1,1,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
489,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,4,0,Man,25-34,Most of the time,4,0,Agree strongly,Neither disagree nor agree,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
490,Republican,1,Lean Republican,Agree strongly,Agree strongly,Disagree somewhat,Agree strongly,5,6,Man,55-64,Most of the time,3,2,Disagree somewhat,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly,Agree strongly,Agree strongly
491,Republican,2,Strong Republican,Agree somewhat,Agree somewhat,Agree strongly,Neither disagree nor agree,10,9,Woman,35-44,Some of the time,9,8,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree
492,Republican,3,Strong Republican,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,6,4,Man,25-34,Some of the time,6,7,,,,,,Disagree somewhat,Neither disagree nor agree,Agree strongly,Disagree somewhat
493,Republican,1,Lean Republican,Disagree strongly,Agree somewhat,Agree strongly,Neither disagree nor agree,10,9,Man,35-44,Most of the time,10,9,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,Agree somewhat,Agree strongly,Neither disagree nor agree
494,Republican,3,Independent,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,10,9,Woman,45-54,Some of the time,9,9,,,,,,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly
495,Republican,3,Strong Democrat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,9,6,Man,25-34,Some of the time,8,6,,,,,,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree
